,Zipcode,Population,Household Income,Median Age,Per Capita Income,lat,lng,city,state_id,Age_sqd,Popn_sqd,Income_sqd,zscore_age,zscore_pop,zscore_inc,c_zscore
19389,57221,742.0,51528.0,29.6,32174.0,44.59541,-97.45309,Bryant,SD,0.15999999999999887,95215703.23133993,36846752.20624692,0.9730719760154751,0.35110062654367646,0.7435594669018322,0.2540342518052869
19390,57223,1245.0,70197.0,33.7,30106.0,44.71568,-97.00844000000001,Castlewood,SD,13.69000000000002,85652311.69777203,158730956.5993504,0.7509157781431436,0.3845502359025029,0.46774729049930863,0.1350689713273977
19391,57224,178.0,75833.0,32.7,75682.0,45.86237,-97.13701999999999,Claire City,SD,7.290000000000015,106540657.88130474,332509660.8459373,0.8182358381044561,0.31359450392264654,0.22964802887377056,0.05892636642939312
19392,57225,1906.0,39291.0,43.0,28500.0,44.88507,-97.72525,Clark,SD,169.0,73854316.48566787,335151835.1704974,0.12483922050293772,0.4285068796126108,0.22659341571096825,0.012121493507683044
19398,57234,1352.0,61042.0,42.1,27085.0,44.602920000000005,-96.89276,Estelline,SD,146.41000000000003,83683222.06737089,11860085.130666347,0.1854272744681188,0.39166575916571256,0.8545107291405083,0.06205928111425423
19399,57235,897.0,70000.0,39.8,28032.0,45.07397,-97.30875,Florence,SD,96.03999999999995,92214793.67328222,153805819.71138415,0.3402634123791378,0.3614081602427185,0.4760697806590374,0.058544192765087134
19400,57236,138.0,34583.0,44.5,24774.0,44.984140000000004,-97.58138000000001,Garden City,SD,210.25,107368006.15435189,529697247.7565636,0.023859130560969,0.3109344952261195,0.027698574736334858,0.00020548538657589295
19402,57238,534.0,67596.0,34.1,27901.0,44.87543,-96.86081999999999,Goodwin,SD,16.810000000000013,99318234.2511851,99956953.2612786,0.7239877541586187,0.3372685813217363,0.5776295082934932,0.1410446044998822
19404,57241,1210.0,66411.0,35.6,26187.0,44.6989,-97.21353,Hayti,SD,31.360000000000017,86301376.43668827,77666279.84889296,0.62300766421665,0.3822227282930418,0.6276911876806939,0.14947065203123827
19405,57242,405.0,52813.0,21.4,20641.0,44.77384,-97.36288,Hazel,SD,73.96000000000002,101906065.43176216,22897685.10490983,0.42104748433271255,0.328690053275437,0.7978457605833114,0.11041716197698209
19406,57243,780.0,64643.0,37.7,29423.0,44.91278,-97.41939,Henry,SD,59.29000000000004,94475550.37194514,49629875.33151083,0.48163553829789363,0.3536276348053772,0.7023823684035384,0.11962950949244497
19407,57245,176.0,75000.0,38.3,24146.0,44.89759,-96.91816999999999,Kranzburg,SD,68.88999999999996,106581949.2949571,302824294.02524763,0.44124350232110654,0.3134615034878201,0.26483906594511075,0.036630646437020443
19413,57252,4807.0,63856.0,41.3,30624.0,45.20385,-96.61169,Milbank,SD,127.68999999999994,32408579.982923325,39160654.47450871,0.2392833224371691,0.621424010328228,0.7356300828995104,0.10938554640768659
